Date,AAPL,ORCL,DLX,EPAY,XOM,VLO,INT,CPE
1/1/2000,0.926338971,24.9765625,21.38662529,31.4375,41.4375,5.198812008,1.71875,120
2/1/2000,1.023437977,37.125,18.73828125,39.0625,37.65625,5.827239037,1.796875,140
3/1/2000,1.212612033,39.03125,21.18675041,36.4375,39,7.012682915,1.828125,121.25
4/1/2000,1.107700944,39.96875,20.1374054,36,38.84375,6.627057076,1.765625,135.625
5/1/2000,0.75,35.9375,19.73765564,30.5625,41.65625,6.684185982,1.703125,152.5
6/1/2000,0.935267985,42.03125,18.83821869,34.1875,39.25,7.259055138,2.15625,148.75
7/1/2000,0.907365978,37.59375,17.18925095,23.5,40.09375,5.927217007,1.984375,133.75
8/1/2000,1.088170052,45.46875,17.5890007,31.6875,40.8203125,6.884140968,1.921875,153.125
9/1/2000,0.459820986,39.375,16.23984337,37.3125,44.5546875,8.04101944,2.03125,158.125
10/1/2000,0.349330008,33,18.03871918,35.0625,44.59375,7.555416107,1.8125,152.5
11/1/2000,0.294643015,26.5,18.63834381,17.25,44,7.184072018,1.5625,140.625
12/1/2000,0.265625,29.0625,20.20336533,25.6875,43.46875,8.498058319,1.75,166.875
1/1/2001,0.386161,29.125,20.98999977,24.5,42.07500076,7.895338058,2.32249999,137.8999939
2/1/2001,0.325893015,19,24.35000038,10.15625,40.52500153,8.375228882,2.049999952,107
3/1/2001,0.394107014,14.63000011,23.67000008,7.28125,40.5,8.112430573,2.387500048,123.5
4/1/2001,0.455179006,16.15999985,25.98999977,3.569999933,44.29999924,11.00548363,2.297499895,124.4000015
5/1/2001,0.356249988,15.30000019,27.70999908,6.920000076,44.375,10.07541084,3.099999905,122
6/1/2001,0.415179014,19,28.89999962,5.400000095,43.67499924,8.404935837,2.987499952,118.5
7/1/2001,0.335536003,18.07999992,31.54000092,5.050000191,41.75999832,8.066727638,3.25,101.5
8/1/2001,0.331250012,12.21000004,32.81999969,5.480000019,40.15000153,9.483547211,3.099999905,68.5
9/1/2001,0.276964009,12.57999992,34.54000092,4.980000019,39.40000153,8.02102375,2.327500105,68
10/1/2001,0.313571006,13.56000042,35,7,39.45000076,8.59232235,3.787499905,67.80000305
11/1/2001,0.380356997,14.02999973,39.52000046,7.480000019,37.40000153,7.998171806,3.972500086,59
12/1/2001,0.391070992,13.81000042,41.58000183,10.82999992,39.29999924,8.711152077,4.574999809,68.5
1/1/2002,0.441428989,17.26000023,46.00999832,8.869999886,39.04999924,10.49817181,4.537499905,59
2/1/2002,0.387499988,16.62000084,47.40000153,8.479999542,41.29999924,9.78747654,4.125,43.5
3/1/2002,0.422679007,12.80000019,46.25999832,8.449999809,43.83000183,11.31627083,4.900000095,78
4/1/2002,0.433393002,10.03999996,43.88000107,9.680000305,40.16999817,9.862888336,5.204999924,63.70000076
5/1/2002,0.416070998,7.920000076,45.24000168,7.400000095,39.93000031,9.026508331,5,50.5
6/1/2002,0.316428989,9.470000267,38.88999939,5.639999866,40.91999817,8.551188469,6.099999905,48.79999924
7/1/2002,0.272500008,10.01000023,38.88999939,5.5,36.75999832,7.783363819,5.324999809,35.79999924
8/1/2002,0.263393015,9.590000153,45.45999908,5.349999905,35.45000076,7.420018196,4.789999962,37
9/1/2002,0.258929014,7.860000134,45.06000137,4.699999809,31.89999962,6.048902988,4.824999809,48.59999847
10/1/2002,0.286963999,10.18999958,46.22000122,4.150000095,33.65999985,8.046160698,5.427499771,53.29999924
11/1/2002,0.276786,12.14999962,43.40000153,5.800000191,34.79999924,7.305758953,5.037499905,58.70000076
12/1/2002,0.255892992,10.80000019,42.09999847,6.039999962,34.93999863,8.441498756,5.125,33.5
1/1/2003,0.256428987,12.02999973,40.24000168,6.559999943,34.15000153,7.858775139,5.025000095,39.09999847
2/1/2003,0.268036008,11.96000004,40.29999924,5.309999943,34.02000046,8.914533615,5,40.59999847
3/1/2003,0.252499998,10.85000038,40.13000107,5.5,34.95000076,9.456124306,5.090000153,42.59999847
4/1/2003,0.253928989,11.88000011,44.00999832,5.889999866,35.20000076,8.398079872,5.355000019,46.59999847
5/1/2003,0.320535988,13.01000023,46.97000122,7.090000153,36.40000153,8.569470406,6.177499771,80
6/1/2003,0.340357006,12.01000023,44.79999924,8.010000229,35.90999985,8.302102089,6.147500038,71.19999695
7/1/2003,0.376428992,11.98999977,44.40000153,7.550000191,35.58000183,8.318099022,6.0625,67
8/1/2003,0.403750002,12.82999992,42.70000076,7,37.70000076,9.003656387,6.8125,70.90000153
9/1/2003,0.370000005,11.25,40.13999939,8.199999809,36.59999847,8.745429993,7.017499924,74.69999695
10/1/2003,0.408749998,11.97000027,40.36999893,6.920000076,36.58000183,9.757769585,7.164999962,84.90000153
11/1/2003,0.373392999,12.02000046,41.20000076,9.050000191,36.20000076,9.849177361,7.482500076,92
