Symbol,Name,Last,1M %Chg,52W %Chg,50D Rel Str,100D His Vol,Std Dev,EPS Growth Prv Yr,PEG,ROA%,Debt/Equity
A,Agilent Technologies,150.30,0.03,0.56,0.63,0.16,1.65,0.37,2.75,0.12,0.45
AAL,American Airlines Gp,21.16,-0.04,0.86,0.50,0.42,-0.38,-0.63,N/A,-0.17,N/A
AAP,Advance Auto Parts Inc,210.29,0.05,0.41,0.58,0.21,0.36,2.67,1.36,0.06,0.30
AAPL,Apple Inc,146.80,0.10,0.51,0.59,0.22,0.74,1.20,2.17,0.23,1.57
ABBV,Abbvie Inc,117.54,0.02,0.20,0.56,0.18,0.60,0.22,1.73,0.13,5.40
ABC,Amerisourcebergen Corp,119.84,0.03,0.15,0.54,0.22,1.24,0.05,1.10,0.04,N/A
ABMD,Abiomed Inc,323.54,-0.01,0.09,0.53,0.31,0.13,0.24,4.78,0.13,0.00
ABT,Abbott Laboratories,118.25,0.07,0.18,0.52,0.24,-0.68,1.03,2.34,0.11,0.52
ACN,Accenture Plc,314.26,0.10,0.40,0.63,0.15,0.19,0.26,3.52,0.14,0.00
ADBE,Adobe Systems Inc,623.68,0.08,0.40,0.66,0.22,2.40,0.23,3.13,0.19,0.30
ADI,Analog Devices,162.02,-0.01,0.42,0.51,0.27,-1.26,0.43,2.07,0.10,0.39
ADM,Archer Daniels Midland,57.41,-0.07,0.39,0.45,0.18,-1.24,1.17,2.04,0.05,0.40
ADP,Automatic Data Procs,203.29,0.03,0.38,0.57,0.18,-0.78,-0.02,2.57,0.06,0.35
ADSK,Autodesk Inc,308.51,0.08,0.28,0.56,0.25,1.64,0.22,2.95,0.09,1.70
AEE,Ameren Corp,82.49,0.00,0.03,0.51,0.16,0.23,0.54,3.02,0.03,1.24
AEP,American Electric Power Company,84.88,0.02,-0.05,0.50,0.15,0.21,0.13,3.11,0.03,1.42
AES,The Aes Corp,24.02,-0.07,0.54,0.45,0.25,-0.92,-0.03,1.87,0.03,3.97
AFL,Aflac Inc,53.10,0.01,0.45,0.51,0.19,-0.99,0.26,1.98,0.02,0.25
AIG,American International Group,47.56,0.00,0.48,0.50,0.31,-0.59,8.55,0.99,0.01,0.57
AIZ,Assurant Inc,152.41,-0.02,0.44,0.51,0.19,-0.90,-0.06,0.88,0.01,0.38
AJG,Arthur J. Gallagher & Company,142.11,0.01,0.36,0.55,0.18,0.82,0.10,2.64,0.04,0.64
AKAM,Akamai Technologies,116.96,0.01,0.03,0.56,0.17,-0.84,0.20,2.21,0.10,0.45
ALB,Albemarle Corp,192.76,0.19,1.20,0.59,0.41,0.57,0.10,2.48,0.04,0.34
ALGN,Align Technology,627.92,0.04,0.97,0.55,0.33,0.76,-0.87,2.89,0.10,0.00
ALK,Alaska Air Group,57.98,-0.10,0.60,0.46,0.33,0.28,-3.28,N/A,-0.11,0.81
ALL,Allstate Corp,128.25,0.00,0.37,0.52,0.20,-0.34,0.73,1.08,0.04,0.32
ALLE,Allegion Plc,135.97,-0.02,0.22,0.52,0.21,-2.08,0.15,4.61,0.16,1.96
AMAT,Applied Materials,137.18,0.03,1.14,0.54,0.41,-0.29,0.83,1.09,0.22,0.47
AMCR,Amcor Plc,11.37,-0.01,0.04,0.47,0.19,0.11,0.06,1.59,0.06,1.38
AMD,Adv Micro Devices,91.21,0.09,0.48,0.55,0.34,0.99,2.36,1.30,0.21,0.05
AME,Amtek Inc,137.17,0.03,0.47,0.55,0.18,0.09,0.05,2.86,0.09,0.37
AMGN,Amgen Inc,244.74,0.02,-0.05,0.51,0.20,-0.06,-0.11,1.79,0.15,3.34
AMP,Ameriprise Financial Services,246.88,0.02,0.56,0.52,0.25,-0.97,0.00,N/A,0.01,1.00
AMT,American Tower Corp,281.60,0.06,0.09,0.62,0.17,0.67,0.16,2.17,0.04,6.45
AMZN,Amazon.com Inc,3638.03,0.04,0.17,0.58,0.21,1.02,2.15,2.21,0.09,0.31
ANET,Arista Networks Inc,373.37,0.02,0.60,0.60,0.25,1.59,0.36,3.25,0.15,0.00
ANSS,Ansys Inc,358.23,0.05,0.17,0.53,0.27,1.10,0.47,5.08,0.09,0.19
ANTM,Anthem Inc,384.30,0.01,0.43,0.54,0.18,0.19,0.08,1.20,0.06,0.66
AON,AON Plc,232.51,0.00,0.12,0.48,0.20,0.95,0.16,N/A,0.08,1.67
AOS,Smith A.O. Corp,68.63,0.01,0.35,0.51,0.24,-2.08,0.88,2.83,0.13,0.05
APA,Apa Corp,18.25,-0.17,0.26,0.47,0.51,-0.33,8.00,0.38,0.00,N/A
APD,Air Products and Chemicals,288.46,-0.03,-0.02,0.50,0.17,0.73,0.02,2.73,0.07,0.54
APH,Amphenol Corp,70.03,0.04,0.36,0.55,0.19,-0.16,0.46,2.46,0.10,0.74
APTV,Aptiv Plc,154.49,0.02,0.87,0.53,0.32,-0.56,0.56,3.58,0.04,0.48
ARE,Alexandria Real Estate Equities,194.21,0.06,0.15,0.59,0.18,-0.52,0.05,3.45,0.03,0.58
ATO,Atmos Energy Corp,97.66,-0.01,-0.06,0.49,0.16,-0.58,0.18,2.66,0.04,0.94
ATVI,Activision Blizzard,90.47,-0.02,0.12,0.47,0.22,-0.61,0.28,1.71,0.12,0.24
AVB,Avalonbay Communities,224.45,0.06,0.49,0.62,0.17,-1.53,-0.18,9.90,0.04,0.71
AVGO,Broadcom Ltd,476.33,0.03,0.52,0.53,0.26,-0.46,0.42,1.29,0.13,1.71
AVY,Avery Dennison Corp,200.88,-0.04,0.64,0.50,0.20,-1.05,0.45,3.24,0.11,1.28
AWK,American Water Works,164.42,0.03,0.14,0.55,0.18,0.51,0.09,4.88,0.03,1.42
AXP,American Express Company,170.90,0.04,0.77,0.58,0.24,-0.52,-0.12,1.58,0.02,1.72
AZO,Autozone,1593.90,0.11,0.36,0.62,0.18,0.17,0.84,1.59,0.15,N/A
BA,Boeing Company,220.87,-0.09,0.23,0.47,0.31,-0.31,0.10,N/A,-0.08,N/A
BAC,Bank of America Corp,37.96,-0.05,0.56,0.48,0.24,-0.71,1.78,1.62,0.01,1.01
BAX,Baxter International Inc,80.51,-0.01,-0.10,0.48,0.15,0.38,-0.07,2.36,0.08,0.67
BBY,Best Buy Company,109.98,-0.01,0.13,0.48,0.28,-0.46,2.33,1.54,0.13,0.27
BDX,Becton Dickinson and Company,249.35,0.04,-0.09,0.52,0.16,1.55,0.25,2.20,0.07,0.71
BEN,Franklin Resources,29.44,-0.09,0.41,0.47,0.34,-0.75,0.20,N/A,0.07,0.45
BF.B,Brown Forman Inc Cl B,71.24,-0.03,0.05,0.45,0.19,-1.96,-0.07,N/A,0.12,0.95
BIIB,Biogen Inc,326.36,-0.13,0.16,0.52,0.62,0.41,-0.42,1.60,0.18,0.68
BIO,Bio-Rad Laboratories,675.41,0.08,0.30,0.59,0.20,1.95,1.73,N/A,0.03,0.00
BK,Bank of New York Mellon Corp,49.83,0.01,0.38,0.52,0.24,-0.25,0.12,1.92,0.01,0.63
BKNG,Booking Holdings Inc,2194.41,-0.03,0.28,0.48,0.28,0.01,-2.40,3.68,-0.01,2.28
BKR,Baker Hughes A Ge Co. Cl A,19.88,-0.17,0.21,0.44,0.42,-0.74,0.09,N/A,0.00,0.39
BLK,Blackrock Inc,866.86,0.00,0.49,0.54,0.22,-1.01,0.28,2.22,0.03,0.65
BLL,Ball Corp,81.73,0.00,0.12,0.46,0.21,-0.97,0.18,4.77,0.06,1.95
BMY,Bristol-Myers Squibb Company,67.96,0.03,0.14,0.56,0.16,1.66,0.01,1.27,0.12,1.18
BR,Broadridge Financial Solutions Llc,170.54,0.06,0.30,0.59,0.17,0.56,0.05,N/A,0.13,1.09
BRK.B,Berkshire Hathaway Cl B,277.70,0.00,0.45,0.53,0.15,-0.76,0.27,3.47,0.03,0.00
BSX,Boston Scientific Corp,43.55,-0.01,0.13,0.55,0.20,-0.05,0.32,2.80,0.05,0.58
